datetime_utc_from;consumption_MWh;spot_ch_eurpmwh;temperature_celsius;global_radiation_J
2023-01-09T02:00Z;36.867722;55.080000;5.500000;0.000000
2023-01-09T03:00Z;37.119875;45.510000;5.900000;0.000000
2023-01-09T04:00Z;37.945172;57.280000;5.800000;0.000000
2023-01-09T05:00Z;43.845448;118.470000;5.900000;0.000000
2023-01-09T06:00Z;54.051719;136.670000;5.700000;0.000000
2023-01-09T07:00Z;66.437207;162.310000;4.500000;0.000000
2023-01-09T08:00Z;70.808604;175.080000;4.200000;51366.600000
2023-01-09T09:00Z;67.986837;172.540000;3.900000;507210.000000
2023-01-09T10:00Z;67.494123;166.070000;6.200000;930510.000000
2023-01-09T11:00Z;63.878700;172.170000;7.900000;1207518.000000
2023-01-09T12:00Z;61.600770;163.420000;8.100000;1282092.000000
2023-01-09T13:00Z;64.688563;162.350000;7.700000;919056.000000
2023-01-09T14:00Z;65.655207;162.500000;7.700000;879786.000000
2023-01-09T15:00Z;68.432475;177.520000;6.300000;280524.000000
2023-01-09T16:00Z;64.869605;179.820000;5.300000;40342.800000
2023-01-09T17:00Z;57.894381;182.090000;4.700000;0.000000
2023-01-09T18:00Z;52.682930;182.720000;4.300000;0.000000
2023-01-09T19:00Z;49.853015;179.930000;4.300000;0.000000
2023-01-09T20:00Z;48.454230;167.340000;4.000000;0.000000
2023-01-09T21:00Z;47.166376;145.940000;3.700000;0.000000
2023-01-09T22:00Z;43.817203;144.320000;3.700000;0.000000
2023-01-09T23:00Z;43.483639;139.580000;3.700000;0.000000
2023-01-10T00:00Z;42.531271;143.220000;3.900000;0.000000
2023-01-10T01:00Z;42.419441;134.370000;3.800000;0.000000
2023-01-10T02:00Z;42.505748;128.000000;3.600000;0.000000
2023-01-10T03:00Z;42.364571;126.300000;3.700000;0.000000
2023-01-10T04:00Z;43.338357;126.690000;3.300000;0.000000
2023-01-10T05:00Z;48.039305;139.660000;3.000000;0.000000
2023-01-10T06:00Z;57.968239;147.270000;2.400000;0.000000
2023-01-10T07:00Z;70.073632;180.150000;2.300000;0.000000
2023-01-10T08:00Z;73.577579;185.330000;2.200000;62203.300000
2023-01-10T09:00Z;70.929705;185.300000;2.900000;510246.000000
2023-01-10T10:00Z;70.268359;178.610000;4.500000;851322.000000
2023-01-10T11:00Z;67.023964;168.760000;5.400000;1137078.000000
2023-01-10T12:00Z;61.179945;168.710000;6.200000;1266498.000000
2023-01-10T13:00Z;64.079496;168.000000;6.400000;1254660.000000
2023-01-10T14:00Z;66.138837;174.020000;6.500000;998250.000000
2023-01-10T15:00Z;67.529663;164.340000;6.600000;428091.200000
2023-01-10T16:00Z;64.446014;164.920000;5.500000;90030.800000
2023-01-10T17:00Z;58.880104;179.910000;4.800000;0.000000
2023-01-10T18:00Z;53.160660;182.600000;4.200000;0.000000
2023-01-10T19:00Z;50.217175;181.980000;4.000000;0.000000
2023-01-10T20:00Z;48.111836;184.710000;4.100000;0.000000
2023-01-10T21:00Z;47.056716;172.440000;3.500000;0.000000
2023-01-10T22:00Z;44.094892;160.970000;3.500000;0.000000
2023-01-10T23:00Z;43.376002;154.090000;3.600000;0.000000
2023-01-11T00:00Z;42.348961;152.290000;3.800000;0.000000
2023-01-11T01:00Z;42.149781;139.360000;3.700000;0.000000
2023-01-11T02:00Z;42.170376;135.090000;3.600000;0.000000
2023-01-11T03:00Z;42.224333;131.380000;3.500000;0.000000
2023-01-11T04:00Z;42.908748;137.090000;3.200000;0.000000
2023-01-11T05:00Z;48.283390;154.930000;2.700000;0.000000
2023-01-11T06:00Z;58.628017;184.160000;3.100000;0.000000
2023-01-11T07:00Z;70.789635;190.280000;3.200000;0.000000
2023-01-11T08:00Z;73.783306;180.100000;3.300000;49128.000000
2023-01-11T09:00Z;70.791925;180.040000;3.400000;298548.000000
2023-01-11T10:00Z;72.069437;183.070000;4.600000;282162.000000
2023-01-11T11:00Z;72.016359;188.700000;5.400000;206232.000000
2023-01-11T12:00Z;65.232892;180.560000;5.900000;155988.000000
2023-01-11T13:00Z;69.892097;185.870000;6.100000;121116.000000
2023-01-11T14:00Z;70.122732;189.970000;6.000000;116814.000000
2023-01-11T15:00Z;68.663382;184.610000;6.400000;55827.700000
2023-01-11T16:00Z;65.998984;185.890000;7.100000;16296.900000
2023-01-11T17:00Z;59.308187;188.560000;7.100000;0.000000
2023-01-11T18:00Z;54.483208;190.310000;7.100000;0.000000
2023-01-11T19:00Z;50.977459;188.840000;6.600000;0.000000
2023-01-11T20:00Z;48.495962;190.140000;6.100000;0.000000
2023-01-11T21:00Z;47.638192;189.570000;5.400000;0.000000
2023-01-11T22:00Z;45.065698;187.890000;5.600000;0.000000
2023-01-11T23:00Z;43.888627;172.650000;5.100000;0.000000
2023-01-12T00:00Z;43.450665;157.370000;5.200000;0.000000
2023-01-12T01:00Z;42.850142;147.670000;4.400000;0.000000
2023-01-12T02:00Z;42.966089;141.240000;3.500000;0.000000
2023-01-12T03:00Z;42.614811;135.550000;3.900000;0.000000
2023-01-12T04:00Z;43.698281;137.150000;2.700000;0.000000
2023-01-12T05:00Z;48.747918;143.070000;1.900000;0.000000
2023-01-12T06:00Z;59.083823;184.950000;1.500000;0.000000
2023-01-12T07:00Z;70.219526;185.550000;1.800000;0.000000
2023-01-12T08:00Z;72.537765;185.150000;2.900000;21429.800000
2023-01-12T09:00Z;70.192251;185.050000;3.800000;211200.000000
2023-01-12T10:00Z;70.435073;184.910000;5.200000;400518.000000
2023-01-12T11:00Z;69.649719;179.660000;6.400000;542118.000000
2023-01-12T12:00Z;63.770713;179.090000;7.200000;562116.000000
2023-01-12T13:00Z;67.453070;178.030000;7.500000;390756.000000
2023-01-12T14:00Z;66.855357;179.890000;7.500000;333306.000000
2023-01-12T15:00Z;66.688095;184.080000;7.500000;170602.500000
2023-01-12T16:00Z;64.376484;185.040000;7.100000;25525.500000
2023-01-12T17:00Z;57.848043;185.130000;6.700000;0.000000
2023-01-12T18:00Z;52.740066;185.480000;6.500000;0.000000
2023-01-12T19:00Z;50.302955;185.270000;6.200000;0.000000
2023-01-12T20:00Z;48.825145;185.130000;5.800000;0.000000
2023-01-12T21:00Z;46.914240;184.970000;5.300000;0.000000
2023-01-12T22:00Z;44.381041;180.280000;5.600000;0.000000
2023-01-12T23:00Z;43.479049;174.970000;6.000000;0.000000
2023-01-13T00:00Z;42.524790;158.740000;6.000000;0.000000
2023-01-13T01:00Z;42.444595;152.510000;5.600000;0.000000
2023-01-13T02:00Z;41.717549;136.760000;5.700000;0.000000
2023-01-13T03:00Z;41.660894;134.920000;5.900000;0.000000
2023-01-13T04:00Z;42.288822;135.320000;5.900000;0.000000
2023-01-13T05:00Z;47.787410;153.710000;6.500000;0.000000
2023-01-13T06:00Z;57.407552;179.330000;6.500000;0.000000
2023-01-13T07:00Z;68.097851;184.530000;6.100000;0.000000
2023-01-13T08:00Z;71.151279;183.430000;5.400000;21071.400000
2023-01-13T09:00Z;69.364909;184.410000;4.400000;241158.000000
2023-01-13T10:00Z;69.812727;185.100000;5.600000;463296.000000
2023-01-13T11:00Z;66.312479;182.450000;8.000000;820290.000000
2023-01-13T12:00Z;59.771043;182.000000;10.600000;1054728.000000
2023-01-13T13:00Z;66.162310;176.860000;10.500000;923658.000000
2023-01-13T14:00Z;65.993135;176.840000;9.600000;773106.000000
2023-01-13T15:00Z;63.157609;173.470000;9.400000;429568.500000
2023-01-13T16:00Z;59.562147;182.000000;7.800000;84523.300000
2023-01-13T17:00Z;55.190126;184.550000;7.000000;0.000000
2023-01-13T18:00Z;51.750502;182.370000;6.300000;0.000000
2023-01-13T19:00Z;49.525383;181.510000;5.800000;0.000000
2023-01-13T20:00Z;47.476297;178.940000;5.400000;0.000000
2023-01-13T21:00Z;45.333517;158.890000;4.900000;0.000000
2023-01-13T22:00Z;42.454343;156.950000;5.000000;0.000000
2023-01-13T23:00Z;40.834588;155.690000;5.100000;0.000000
2023-01-14T00:00Z;40.859274;158.000000;4.800000;0.000000
2023-01-14T01:00Z;40.474026;155.840000;4.600000;0.000000
2023-01-14T02:00Z;40.396782;153.720000;4.000000;0.000000
2023-01-14T03:00Z;40.166140;151.490000;3.200000;0.000000
2023-01-14T04:00Z;39.746318;150.070000;2.900000;0.000000
2023-01-14T05:00Z;40.229667;154.560000;3.200000;0.000000
